Date,Open,High,Low,Close
07/01/2008,"1,266.79","1,285.31","1,260.68","1,284.91"
06/30/2008,"1,280.33","1,290.31","1,274.86","1,280.00"
06/27/2008,"1,284.44","1,289.45","1,272.00","1,278.38"
06/26/2008,"1,307.49","1,316.29","1,283.15","1,283.15"
06/25/2008,"1,319.24","1,335.63","1,314.54","1,321.97"
06/24/2008,"1,311.62","1,326.02","1,304.42","1,314.29"
06/23/2008,"1,322.35","1,323.78","1,315.31","1,318.00"
06/20/2008,"1,339.28","1,341.02","1,314.46","1,317.93"
06/19/2008,"1,336.69","1,347.66","1,330.50","1,342.83"
06/18/2008,"1,341.49","1,349.59","1,333.40","1,337.81"
06/17/2008,"1,365.56","1,366.59","1,350.54","1,350.93"
06/16/2008,"1,351.74","1,364.70","1,352.07","1,360.14"
06/13/2008,"1,347.73","1,360.03","1,341.71","1,360.03"
06/12/2008,"1,342.56","1,353.03","1,331.29","1,339.87"
06/11/2008,"1,355.25","1,357.09","1,335.47","1,335.49"
06/10/2008,"1,351.93","1,366.84","1,351.56","1,358.44"
06/09/2008,"1,366.18","1,370.63","1,350.62","1,361.76"
06/06/2008,"1,419.93","1,400.06","1,359.90","1,360.68"
06/05/2008,"1,382.33","1,404.05","1,377.48","1,404.05"
06/04/2008,"1,373.97","1,388.18","1,371.74","1,377.20"
06/03/2008,"1,389.88","1,393.12","1,370.12","1,377.65"
06/02/2008,"1,395.74","1,399.62","1,377.79","1,385.67"
05/30/2008,"1,401.86","1,404.46","1,398.08","1,400.38"
05/29/2008,"1,387.50","1,406.32","1,388.59","1,398.26"
05/28/2008,"1,388.38","1,391.25","1,378.16","1,390.84"
05/27/2008,"1,374.98","1,387.40","1,373.07","1,385.35"
05/23/2008,"1,389.24","1,392.20","1,373.72","1,375.93"
05/22/2008,"1,390.83","1,399.07","1,390.23","1,394.35"
05/21/2008,"1,416.16","1,419.12","1,388.81","1,390.71"
05/20/2008,"1,419.93","1,424.49","1,409.09","1,413.40"
05/19/2008,"1,425.74","1,440.24","1,421.63","1,426.63"
05/16/2008,"1,425.70","1,425.82","1,414.35","1,425.35"
05/15/2008,"1,408.36","1,424.40","1,406.87","1,423.57"
05/14/2008,"1,409.45","1,420.19","1,405.65","1,408.66"
05/13/2008,"1,407.07","1,406.30","1,396.26","1,403.04"
05/12/2008,"1,390.40","1,404.06","1,386.20","1,403.58"
05/09/2008,"1,385.11","1,394.90","1,384.11","1,388.28"
05/08/2008,"1,397.75","1,402.35","1,389.39","1,397.68"
05/07/2008,"1,417.53","1,419.54","1,391.16","1,392.57"
05/06/2008,"1,401.49","1,421.57","1,397.10","1,418.26"
05/05/2008,"1,410.83","1,415.70","1,404.37","1,407.49"
05/02/2008,"1,409.16","1,422.72","1,406.25","1,413.90"
05/01/2008,"1,384.23","1,410.07","1,383.07","1,409.34"
04/30/2008,"1,393.89","1,404.57","1,384.25","1,385.59"
04/29/2008,"1,393.18","1,397.00","1,386.70","1,390.94"
04/28/2008,"1,398.44","1,402.90","1,394.40","1,396.37"
04/25/2008,"1,395.18","1,399.11","1,379.98","1,397.84"
04/24/2008,"1,382.14","1,397.72","1,371.09","1,388.82"
04/23/2008,"1,379.71","1,387.87","1,372.24","1,379.93"
04/22/2008,"1,382.47","1,386.43","1,369.84","1,375.94"
04/21/2008,"1,382.69","1,390.23","1,379.25","1,388.17"
04/18/2008,"1,391.12","1,395.90","1,369.00","1,390.33"
04/17/2008,"1,360.18","1,368.60","1,357.25","1,365.56"
04/16/2008,"1,346.43","1,365.49","1,337.02","1,364.71"
04/15/2008,"1,337.59","1,337.72","1,324.35","1,334.43"
04/14/2008,"1,331.83","1,335.64","1,326.16","1,328.32"
04/11/2008,"1,343.58","1,357.98","1,331.21","1,332.83"
04/10/2008,"1,355.21","1,367.24","1,350.11","1,360.55"
04/09/2008,"1,365.43","1,368.39","1,349.97","1,354.49"
04/08/2008,"1,362.61","1,370.16","1,360.62","1,365.54"
04/07/2008,"1,381.19","1,386.74","1,369.02","1,372.54"
04/04/2008,"1,370.56","1,380.91","1,362.83","1,370.40"
04/03/2008,"1,359.71","1,375.66","1,358.68","1,369.31"
04/02/2008,"1,373.15","1,377.95","1,361.55","1,367.53"
04/01/2008,"1,340.94","1,370.18","1,326.41","1,370.18"
03/31/2008,"1,314.42","1,328.52","1,312.81","1,322.70"
03/28/2008,"1,327.02","1,334.87","1,312.95","1,315.22"
03/27/2008,"1,345.62","1,345.62","1,325.66","1,325.76"
03/26/2008,"1,343.93","1,352.45","1,336.41","1,341.13"
03/25/2008,"1,351.42","1,357.47","1,341.21","1,352.99"
03/24/2008,"1,333.66","1,359.68","1,330.29","1,349.88"
03/20/2008,"1,299.67","1,330.67","1,295.22","1,329.51"
03/19/2008,"1,334.63","1,341.51","1,298.42","1,298.42"
03/18/2008,"1,302.22","1,330.74","1,277.16","1,330.74"
03/17/2008,"1,283.21","1,287.50","1,256.98","1,276.60"
03/14/2008,"1,319.78","1,321.47","1,274.86","1,288.14"
03/13/2008,"1,291.34","1,321.68","1,282.11","1,315.48"
03/12/2008,"1,322.23","1,333.26","1,307.86","1,308.77"
03/11/2008,"1,301.40","1,320.65","1,274.40","1,320.65"
03/10/2008,"1,293.68","1,295.01","1,272.66","1,273.37"
03/07/2008,"1,294.66","1,313.24","1,282.43","1,293.37"
03/06/2008,"1,329.23","1,332.20","1,303.42","1,304.34"
03/05/2008,"1,330.32","1,344.19","1,320.22","1,333.70"
03/04/2008,"1,320.75","1,331.03","1,307.39","1,326.75"
03/03/2008,"1,329.68","1,335.13","1,320.04","1,331.34"
02/29/2008,"1,354.12","1,364.07","1,325.42","1,330.63"
02/28/2008,"1,378.16","1,378.16","1,363.16","1,367.68"
02/27/2008,"1,378.95","1,388.34","1,372.00","1,380.02"
02/26/2008,"1,371.76","1,387.34","1,363.29","1,381.29"
02/25/2008,"1,352.75","1,374.36","1,346.03","1,371.80"
02/22/2008,"1,344.22","1,354.30","1,327.04","1,353.11"
02/21/2008,"1,364.30","1,367.94","1,339.34","1,342.53"
02/20/2008,"1,338.56","1,363.71","1,336.55","1,360.03"
02/19/2008,"1,366.84","1,367.28","1,345.05","1,348.78"
02/15/2008,"1,347.20","1,350.00","1,338.13","1,349.99"
02/14/2008,"1,368.16","1,368.16","1,347.31","1,348.86"
02/13/2008,"1,360.01","1,369.23","1,350.78","1,367.21"
02/12/2008,"1,346.93","1,362.10","1,339.36","1,348.86"
02/11/2008,"1,331.23","1,341.40","1,320.32","1,339.13"
02/08/2008,"1,331.34","1,341.22","1,321.06","1,331.29"
02/07/2008,"1,321.09","1,347.16","1,316.75","1,336.91"
02/06/2008,"1,346.80","1,351.96","1,324.34","1,326.45"
02/05/2008,"1,357.26","1,380.28","1,336.64","1,336.64"
02/04/2008,"1,395.27","1,395.38","1,379.69","1,380.82"
02/01/2008,"1,381.72","1,396.02","1,375.93","1,395.42"
01/31/2008,"1,334.92","1,385.62","1,334.08","1,378.55"
01/30/2008,"1,356.60","1,385.86","1,352.95","1,355.81"
01/29/2008,"1,363.33","1,364.93","1,350.19","1,362.30"
01/28/2008,"1,334.17","1,353.97","1,322.26","1,353.97"
01/25/2008,"1,368.56","1,368.56","1,327.50","1,330.61"
01/24/2008,"1,344.92","1,355.15","1,334.31","1,352.07"
01/23/2008,"1,277.56","1,339.09","1,270.05","1,338.60"
01/22/2008,"1,266.79","1,322.09","1,274.29","1,310.50"
01/18/2008,"1,333.94","1,350.28","1,312.51","1,325.19"
01/17/2008,"1,374.79","1,377.72","1,330.67","1,333.25"
01/16/2008,"1,373.27","1,391.99","1,364.27","1,373.20"
01/15/2008,"1,397.73","1,411.88","1,380.60","1,380.95"
01/14/2008,"1,412.87","1,417.89","1,402.91","1,416.25"
01/11/2008,"1,406.91","1,419.91","1,394.83","1,401.02"
01/10/2008,"1,397.54","1,429.07","1,395.30","1,420.33"
01/09/2008,"1,390.43","1,409.19","1,378.70","1,409.13"
01/08/2008,"1,422.15","1,430.28","1,388.30","1,390.19"
01/07/2008,"1,417.97","1,423.87","1,403.45","1,416.18"
01/04/2008,"1,411.63","1,444.01","1,411.19","1,411.63"
01/03/2008,"1,447.16","1,456.80","1,443.73","1,447.16"
01/02/2008,"1,447.16","1,471.77","1,442.07","1,447.16"
